These changes were implemented manually

Manual change of CHORM's kcat, change factor 0.02759
Manual change of TKT2_TG_forward's kcat, change factor 0.07619
Manual change of MACPD's kcat, change factor 9749
Manual change of BTS4_TG_forward's kcat, change factor 241860
Manual change of BTS4_TG_reverse's kcat, change factor 241860
Manual change of MPML_TG_forward's kcat, change factor 878
Manual change of MPML_TG_reverse's kcat, change factor 878
Manual change of CU2abcu_syn's kcat, change factor 2294
Manual change of GHMT2r_TG_reverse's kcat, change factor 2117
Manual change of GHMT2r_TG_forward's kcat, change factor 2117
Manual change of GTPCI's kcat, change factor 16538
Manual change of PPPGO's kcat, change factor 1979
Manual change of NTP3's kcat, change factor 157
Manual change of NMNS's kcat, change factor 3
Manual change of DVOCHR's kcat, change factor 878
Manual change of GF6PTA_TG_reverse's kcat, change factor 1172
Manual change of AOXSr_TG_forward's kcat, change factor 3
Manual change of G3PAT161's kcat, change factor 636
Manual change of G3PAT180's kcat, change factor 636
Manual change of G3PAT181's kcat, change factor 636
Manual change of G3PAT160's kcat, change factor 636
Manual change of GLCt2pp_TG_forward's kcat, change factor 0.0096
Manual change of PSIIa's kcat, change factor 100
Manual change of PSIIb's kcat, change factor 100
Manual change of PSIIc's kcat, change factor 100
Manual change of OECa's kcat, change factor 100
Manual change of OECb's kcat, change factor 100
Manual change of OECc's kcat, change factor 100
Manual change of OECd's kcat, change factor 100
Manual change of OECe's kcat, change factor 100
Manual change of SOPSII's kcat, change factor 100
Manual change of CBFCua's kcat, change factor 100
Manual change of CBFCub's kcat, change factor 100
Manual change of CBFC2ub's kcat, change factor 100
Manual change of CBFCuc's kcat, change factor 100
Manual change of CBFCud's kcat, change factor 100
Manual change of CBFCue's kcat, change factor 100
Manual change of CBFCuf's kcat, change factor 100
Manual change of CBFCpa's kcat, change factor 100
Manual change of CBFCpb's kcat, change factor 100
Manual change of CBFC2pb's kcat, change factor 100
Manual change of CBFCpc's kcat, change factor 100
Manual change of CBFCpd's kcat, change factor 100
Manual change of CBFCpe's kcat, change factor 100
Manual change of CBFCpf's kcat, change factor 100
